Description,Offense,Punishment,Section,combined_text,label
"Description of IPC Section 287
According to section 287 of Indian penal code, Whoever does, with any machinery, any act so rashly or negligently as to endanger human life or to be likely to cause hurt or injury to any other person, or knowingly or negligently omits to take such order with any machinery in his possession or under his care as is sufficient to guard against any probable danger to human life from such machinery, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.


IPC 287 in Simple Words
According to section 287 of the Indian Penal Code, if someone operates machinery in a reckless or negligent manner, endangering human life or causing harm to others, or fails to take necessary precautions with machinery to prevent such dangers, they can be punished with imprisonment of up to six months, a fine of up to one thousand rupees, or both.",So dealing with any machinery,6 Months or Fine or Both,IPC_287,"ipc_287 so dealing with any machinery description of ipc section 287
according to section 287 of indian penal code, whoever does, with any machinery, any act so rashly or negligently as to endanger human life or to be likely to cause hurt or injury to any other person, or knowingly or negligently omits to take such order with any machinery in his possession or under his care as is sufficient to guard against any probable danger to human life from such machinery, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.


ipc 287 in simple words
according to section 287 of the indian penal code, if someone operates machinery in a reckless or negligent manner, endangering human life or causing harm to others, or fails to take necessary precautions with machinery to prevent such dangers, they can be punished with imprisonment of up to six months, a fine of up to one thousand rupees, or both. 6 months or fine or both",152
"Description of IPC Section 288
According to section 288 of Indian penal code, Whoever, in pulling down or repairing any building, knowingly or negligently omits to take such order with that building as is sufficient to guard against any probable danger to human life from the fall of that building, or of any part thereof, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.


IPC 288 in Simple Words
Section 288 of the Indian Penal Code states that if someone, while demolishing or repairing a building, knowingly or negligently fails to take proper precautions to prevent any potential danger to human life from the building's collapse, they can be punished with imprisonment of up to six months, a fine of up to one thousand rupees, or both.",A person omitting to guard against probable danger to human life by the fall of any building over which he has a right entitling him to pull it down or repair it,6 Months or Fine or Both,IPC_288,"ipc_288 a person omitting to guard against probable danger to human life by the fall of any building over which he has a right entitling him to pull it down or repair it description of ipc section 288
according to section 288 of indian penal code, whoever, in pulling down or repairing any building, knowingly or negligently omits to take such order with that building as is sufficient to guard against any probable danger to human life from the fall of that building, or of any part thereof, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.


ipc 288 in simple words
section 288 of the indian penal code states that if someone, while demolishing or repairing a building, knowingly or negligently fails to take proper precautions to prevent any potential danger to human life from the building's collapse, they can be punished with imprisonment of up to six months, a fine of up to one thousand rupees, or both. 6 months or fine or both",153
"Description of IPC Section 289
According to section 289 of Indian penal code, Whoever knowingly or negligently omits to take such order with any animal in his possession as is sufficient to guard against any probable danger to human life, or any probable danger of grievous hurt from such animal, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.


IPC 289 in Simple Words
Section 289 of the Indian Penal Code states that if someone fails to take proper precautions with an animal in their possession, leading to potential danger to human life or grievous harm, they can be punished with imprisonment of up to six months, a fine of up to one thousand rupees, or both.","A person omitting to take order with any animal in his possession, so as to guard against danger to human life, or of grievous hurt, from such animal",6 Months or Fine or Both,IPC_289,"ipc_289 a person omitting to take order with any animal in his possession, so as to guard against danger to human life, or of grievous hurt, from such animal description of ipc section 289
according to section 289 of indian penal code, whoever knowingly or negligently omits to take such order with any animal in his possession as is sufficient to guard against any probable danger to human life, or any probable danger of grievous hurt from such animal, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.


ipc 289 in simple words
section 289 of the indian penal code states that if someone fails to take proper precautions with an animal in their possession, leading to potential danger to human life or grievous harm, they can be punished with imprisonment of up to six months, a fine of up to one thousand rupees, or both. 6 months or fine or both",154
"Description of IPC Section 290
According to section 290 of Indian penal code, Whoever commits a public nuisance in any case not otherwise punishable by this Code, shall be punished with fine which may extend to two hundred rupees.


IPC 290 in Simple Words
Section 290 of the Indian Penal Code states that anyone who commits a public nuisance, not covered by other provisions of the Code, shall be punished with a fine of up to two hundred rupees.",Committing a public nuisance,Fine,IPC_290,"ipc_290 committing a public nuisance description of ipc section 290
according to section 290 of indian penal code, whoever commits a public nuisance in any case not otherwise punishable by this code, shall be punished with fine which may extend to two hundred rupees.


ipc 290 in simple words
section 290 of the indian penal code states that anyone who commits a public nuisance, not covered by other provisions of the code, shall be punished with a fine of up to two hundred rupees. fine",155
"Description of IPC Section 291
According to section 291 of Indian penal code, Whoever repeats or continues a public nuisance, having been enjoined by any public servant who has lawful authority to issue such injunction not to repeat or continue such nuisance, shall be punished with simple imprisonment for a term which may extend to six months, or with fine, or with both.


IPC 291 in Simple Words
Section 291 of the Indian Penal Code states that anyone who continues a public nuisance after being ordered by a public servant to stop shall be punished with imprisonment up to six months, or with a fine, or both.",Committing a nuisance after injunction to discontinue,"Simple Imprisonment for 6 Months, or Fine, or Both",IPC_291,"ipc_291 committing a nuisance after injunction to discontinue description of ipc section 291
according to section 291 of indian penal code, whoever repeats or continues a public nuisance, having been enjoined by any public servant who has lawful authority to issue such injunction not to repeat or continue such nuisance, shall be punished with simple imprisonment for a term which may extend to six months, or with fine, or with both.


ipc 291 in simple words
section 291 of the indian penal code states that anyone who continues a public nuisance after being ordered by a public servant to stop shall be punished with imprisonment up to six months, or with a fine, or both. simple imprisonment for 6 months, or fine, or both",156
"Description of IPC Section 292
According to section 292 of Indian penal code,
For the purposes of sub-section (2), a book, pamphlet, paper, writing, drawing, painting representation, figure or any other object, shall be deemed to be obscene if it is lascivious or appeals to the prurient interest or if its effect, or (where it comprises two or more distinct items) the effect of any one of its items, is, if taken as a whole, such as to tend to deprave and corrupt persons who are likely, having regard to all relevant circumstances, to read, see or hear the matter contained or embodied in it.
Whoever:
sells, lets to hire, distributes, publicly exhibits or in any manner puts into circulation, or for purposes of sale, hire, distribution, public exhibition or circulation, makes, reduces or has in his possession any obscene book, pamphlet, paper, drawing, painting, representation or figure or any other obscene object whatsoever, or
imports, exports or conveys any obscene object for any of the purposes aforesaid, or knowing or having reason to believe that such object will be sold, let to hire, distributed or publicly exhibited or in any manner put into circulation, or
takes part in or receives profits from any business in the course of which he knows or has reason to believe that any such obscene objects are, for any of the purposes aforesaid, made, produced, purchased, kept, imported, exported, conveyed, publicly exhibited or in any manner put into circulation, or
advertises or makes known by any means whatsoever that any person is engaged or is ready to engage in any act which is an offence under this section, or that any such obscene object can be procured from or through any person, or
offers or attempts to do any act which is an offence under this section, shall be punished on first conviction with imprisonment of either description for a term which may extend to two years, and with fine which may extend to two thousand rupees, and, in the event of a second or subsequent conviction, with imprisonment of either description for a term which may extend to five years, and also with fine which may extend to five thousand rupees.


IPC 292 in Simple Words
Section 292 of the Indian Penal Code prohibits the sale, distribution, exhibition, or possession of any obscene object or materials that are lascivious or likely to corrupt and deprave people, with punishment of imprisonment up to two years and a fine for the first conviction, and imprisonment up to five years and a higher fine for subsequent convictions.","Sale, etc., of obscene books, etc.","First conviction 2 Years + Fine, then 5 Years + Fine",IPC_292,"ipc_292 sale, etc., of obscene books, etc. description of ipc section 292
according to section 292 of indian penal code,
for the purposes of sub-section (2), a book, pamphlet, paper, writing, drawing, painting representation, figure or any other object, shall be deemed to be obscene if it is lascivious or appeals to the prurient interest or if its effect, or (where it comprises two or more distinct items) the effect of any one of its items, is, if taken as a whole, such as to tend to deprave and corrupt persons who are likely, having regard to all relevant circumstances, to read, see or hear the matter contained or embodied in it.
whoever:
sells, lets to hire, distributes, publicly exhibits or in any manner puts into circulation, or for purposes of sale, hire, distribution, public exhibition or circulation, makes, reduces or has in his possession any obscene book, pamphlet, paper, drawing, painting, representation or figure or any other obscene object whatsoever, or
imports, exports or conveys any obscene object for any of the purposes aforesaid, or knowing or having reason to believe that such object will be sold, let to hire, distributed or publicly exhibited or in any manner put into circulation, or
takes part in or receives profits from any business in the course of which he knows or has reason to believe that any such obscene objects are, for any of the purposes aforesaid, made, produced, purchased, kept, imported, exported, conveyed, publicly exhibited or in any manner put into circulation, or
advertises or makes known by any means whatsoever that any person is engaged or is ready to engage in any act which is an offence under this section, or that any such obscene object can be procured from or through any person, or
offers or attempts to do any act which is an offence under this section, shall be punished on first conviction with imprisonment of either description for a term which may extend to two years, and with fine which may extend to two thousand rupees, and, in the event of a second or subsequent conviction, with imprisonment of either description for a term which may extend to five years, and also with fine which may extend to five thousand rupees.


ipc 292 in simple words
section 292 of the indian penal code prohibits the sale, distribution, exhibition, or possession of any obscene object or materials that are lascivious or likely to corrupt and deprave people, with punishment of imprisonment up to two years and a fine for the first conviction, and imprisonment up to five years and a higher fine for subsequent convictions. first conviction 2 years + fine, then 5 years + fine",157
"Description of IPC Section 293
According to section 293 of Indian penal code, Whoever sells, lets to hire, distributes, exhibits or circulates to any person under the age of twenty years any such obscene object as is referred to in the last preceding section, or offers or attempts so to do, shall be punished on first conviction with imprisonment of either description for a term which may extend to three years, and with fine which may extend to two thousand rupees, and, in the event of a second or subsequent conviction, with imprisonment of either description for a term which may extend to seven years, and also with fine which may extend to five thousand rupees.


IPC 293 in Simple Words
Section 293 of the Indian Penal Code states that anyone who sells, distributes, exhibits, or circulates obscene objects to anyone under twenty years of age can be punished with imprisonment up to three years and a fine, and in case of repeat convictions, imprisonment up to seven years and a higher fine.","Sale etc., of obscene objects to young persons","First conviction 3 Years + Fine, then 7 Years + Fine",IPC_293,"ipc_293 sale etc., of obscene objects to young persons description of ipc section 293
according to section 293 of indian penal code, whoever sells, lets to hire, distributes, exhibits or circulates to any person under the age of twenty years any such obscene object as is referred to in the last preceding section, or offers or attempts so to do, shall be punished on first conviction with imprisonment of either description for a term which may extend to three years, and with fine which may extend to two thousand rupees, and, in the event of a second or subsequent conviction, with imprisonment of either description for a term which may extend to seven years, and also with fine which may extend to five thousand rupees.


ipc 293 in simple words
section 293 of the indian penal code states that anyone who sells, distributes, exhibits, or circulates obscene objects to anyone under twenty years of age can be punished with imprisonment up to three years and a fine, and in case of repeat convictions, imprisonment up to seven years and a higher fine. first conviction 3 years + fine, then 7 years + fine",158
"Description of IPC Section 294
According to section 294 of Indian penal code,
Whoever, to the annoyance of others:
does any obscene act in any public place, or
sings, recites or utters any obscene song, ballad or words, in or near any public place, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine, or with both.


IPC 294 in Simple Words
Section 294 of the Indian Penal Code states that anyone who does any obscene act or sings/recites obscene content in a public place, causing annoyance to others, can be punished with imprisonment up to three months, or a fine, or both.",Obscene Songs,3 Months or Fine or Both,IPC_294,"ipc_294 obscene songs description of ipc section 294
according to section 294 of indian penal code,
whoever, to the annoyance of others:
does any obscene act in any public place, or
sings, recites or utters any obscene song, ballad or words, in or near any public place, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine, or with both.


ipc 294 in simple words
section 294 of the indian penal code states that anyone who does any obscene act or sings/recites obscene content in a public place, causing annoyance to others, can be punished with imprisonment up to three months, or a fine, or both. 3 months or fine or both",159
"Description of IPC Section 294A
According to section 294A of Indian penal code, Whoever keeps any office or place for the purpose of drawing any lottery not being a State lottery or a lottery authorised by the State Government, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both.
And whoever publishes any proposal to pay any sum, or to deliver any goods, or to do or forbear doing anything for the benefit of any person, on any event or contingency relative or applicable to the drawing of any ticket, lot, number or figure in any such lottery shall be punished with fine which may extend to one thousand rupees.


IPC 294A in Simple Words
Section 294A of the Indian Penal Code deals with the punishment for keeping an illegal lottery office and publishing proposals related to unauthorized lotteries, with imprisonment up to six months or a fine, or both, for running the office, and a fine of up to one thousand rupees for publishing proposals.",Keeping a lottery office,6 Months or Fine or Both,IPC_294A,"ipc_294a keeping a lottery office description of ipc section 294a
according to section 294a of indian penal code, whoever keeps any office or place for the purpose of drawing any lottery not being a state lottery or a lottery authorised by the state government, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both.
and whoever publishes any proposal to pay any sum, or to deliver any goods, or to do or forbear doing anything for the benefit of any person, on any event or contingency relative or applicable to the drawing of any ticket, lot, number or figure in any such lottery shall be punished with fine which may extend to one thousand rupees.


ipc 294a in simple words
section 294a of the indian penal code deals with the punishment for keeping an illegal lottery office and publishing proposals related to unauthorized lotteries, with imprisonment up to six months or a fine, or both, for running the office, and a fine of up to one thousand rupees for publishing proposals. 6 months or fine or both",160
"Description of IPC Section 295
According to section 295 of Indian penal code, Whoever destroys, damages or defiles any place of worship, or any object held sacred by any class of persons with the intention of thereby insulting the religion of any class of persons or with the knowledge that any class of persons is likely to consider such destruction, damage or defilement as an insult to their religion, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.


IPC 295 in Simple Words
Section 295 of the Indian Penal Code states that intentionally destroying or defiling a place of worship or any sacred object with the intention of insulting a religious group, or knowing it will likely be considered an insult, can lead to imprisonment for up to two years, or a fine, or both.","Destroying, damaging or defiling a place of worship or sacred object with intent to insult the religion of any class of persons",2 Years or Fine or Both,IPC_295,"ipc_295 destroying, damaging or defiling a place of worship or sacred object with intent to insult the religion of any class of persons description of ipc section 295
according to section 295 of indian penal code, whoever destroys, damages or defiles any place of worship, or any object held sacred by any class of persons with the intention of thereby insulting the religion of any class of persons or with the knowledge that any class of persons is likely to consider such destruction, damage or defilement as an insult to their religion, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.


ipc 295 in simple words
section 295 of the indian penal code states that intentionally destroying or defiling a place of worship or any sacred object with the intention of insulting a religious group, or knowing it will likely be considered an insult, can lead to imprisonment for up to two years, or a fine, or both. 2 years or fine or both",161
"Description of IPC Section 295A
According to section 295A of Indian penal code, Whoever, with deliberate and malicious intention of outraging the religious feelings of any class of citizens of India, by words, either spoken or written, or by signs or by visible representations or otherwise insults or attempts to insult the religion or the religious beliefs of that class, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.


IPC 295A in Simple Words
Section 295A of the Indian Penal Code deals with intentionally outraging religious feelings of any class by spoken, written, or visible means, and the punishment is imprisonment up to three years, or a fine, or both.",Maliciously insulting the religions or the religious beliefs of any class,3 Years or Fine or Both,IPC_295A,"ipc_295a maliciously insulting the religions or the religious beliefs of any class description of ipc section 295a
according to section 295a of indian penal code, whoever, with deliberate and malicious intention of outraging the religious feelings of any class of citizens of india, by words, either spoken or written, or by signs or by visible representations or otherwise insults or attempts to insult the religion or the religious beliefs of that class, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.


ipc 295a in simple words
section 295a of the indian penal code deals with intentionally outraging religious feelings of any class by spoken, written, or visible means, and the punishment is imprisonment up to three years, or a fine, or both. 3 years or fine or both",162
"Description of IPC Section 296
According to section 296 of Indian penal code, Whoever voluntarily causes disturbance to any assembly lawfully engaged in the performance of religious worship, or religious ceremonies, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both.


IPC 296 in Simple Words
Section 296 of the Indian Penal Code states that intentionally causing disturbance to any religious worship or ceremonies being lawfully conducted can lead to imprisonment for up to one year, or a fine, or both.",Causing a disturbance to an assembly engaged in religious worship,1 Year or Fine or Both,IPC_296,"ipc_296 causing a disturbance to an assembly engaged in religious worship description of ipc section 296
according to section 296 of indian penal code, whoever voluntarily causes disturbance to any assembly lawfully engaged in the performance of religious worship, or religious ceremonies, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both.


ipc 296 in simple words
section 296 of the indian penal code states that intentionally causing disturbance to any religious worship or ceremonies being lawfully conducted can lead to imprisonment for up to one year, or a fine, or both. 1 year or fine or both",163
"Description of IPC Section 297
According to section 297 of Indian penal code, Whoever, with the intention of wounding the feelings of any person, or of insulting the religion of any person, or with the knowledge that the feelings of any person are likely to be wounded, or that the religion of any person is likely to be insulted thereby, commits any trespass in any place of worship or on any place of sepulture, or any place set apart for the performance of funeral rites or as a depository for the remains of the dead, or offers any indignity to any human corpse, or causes disturbance to any persons assembled for the performance of funeral ceremonies, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both.


IPC 297 in Simple Words
Section 297 of the Indian Penal Code states that intentionally causing hurt or insult to anyone's religious feelings, or disturbing funeral ceremonies, in places of worship or burial sites, can lead to imprisonment for up to one year, or a fine, or both.","Trespassing in place of worship or sepulchre, disturbing funeral with intention to wound the feeling or to insult the religion of any person, or offering indignity to a human corpse",1 Year or Fine or Both,IPC_297,"ipc_297 trespassing in place of worship or sepulchre, disturbing funeral with intention to wound the feeling or to insult the religion of any person, or offering indignity to a human corpse description of ipc section 297
according to section 297 of indian penal code, whoever, with the intention of wounding the feelings of any person, or of insulting the religion of any person, or with the knowledge that the feelings of any person are likely to be wounded, or that the religion of any person is likely to be insulted thereby, commits any trespass in any place of worship or on any place of sepulture, or any place set apart for the performance of funeral rites or as a depository for the remains of the dead, or offers any indignity to any human corpse, or causes disturbance to any persons assembled for the performance of funeral ceremonies, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both.


ipc 297 in simple words
section 297 of the indian penal code states that intentionally causing hurt or insult to anyone's religious feelings, or disturbing funeral ceremonies, in places of worship or burial sites, can lead to imprisonment for up to one year, or a fine, or both. 1 year or fine or both",164
"Description of IPC Section 298
According to section 298 of Indian penal code, Whoever, with the deliberate intention of wounding the religious feelings of any person, utters any word or makes any sound in the hearing of that person or makes any gesture in the sight of that person or places any object in the sight of that person, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both.


IPC 298 in Simple Words
Section 298 of the Indian Penal Code states that intentionally hurting someone's religious feelings by words, sounds, gestures, or objects can lead to imprisonment for up to one year, or a fine, or both.","Uttering any word or making any sound in the hearing or making any gesture, or placing any object in the sight of any person, with intention to wound his religious feelings",1 Year or Fine or Both,IPC_298,"ipc_298 uttering any word or making any sound in the hearing or making any gesture, or placing any object in the sight of any person, with intention to wound his religious feelings description of ipc section 298
according to section 298 of indian penal code, whoever, with the deliberate intention of wounding the religious feelings of any person, utters any word or makes any sound in the hearing of that person or makes any gesture in the sight of that person or places any object in the sight of that person, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both.


ipc 298 in simple words
section 298 of the indian penal code states that intentionally hurting someone's religious feelings by words, sounds, gestures, or objects can lead to imprisonment for up to one year, or a fine, or both. 1 year or fine or both",165
"Description of IPC Section 299
According to section 299 of Indian penal code, Whoever causes death by doing an act with the intention of causing death, or with the intention of causing such bodily injury as is likely to cause death, or with the knowledge that he is likely by such act to cause death, commits the offence of culpable homicide.


IPC 299 in Simple Words
Section 299 of the Indian Penal Code states that causing death by intending to cause death, or causing such bodily injury likely to cause death, or knowingly doing an act likely to cause death, constitutes the offence of culpable homicide.",,,IPC_299,"ipc_299  description of ipc section 299
according to section 299 of indian penal code, whoever causes death by doing an act with the intention of causing death, or with the intention of causing such bodily injury as is likely to cause death, or with the knowledge that he is likely by such act to cause death, commits the offence of culpable homicide.


ipc 299 in simple words
section 299 of the indian penal code states that causing death by intending to cause death, or causing such bodily injury likely to cause death, or knowingly doing an act likely to cause death, constitutes the offence of culpable homicide. ",166
"Description of IPC Section 29A
According to section 29A of Indian penal code, The words ?electronic record? shall have the meaning assigned to them in clause (t) of sub-section (1) of section 2 of the Information Technology Act, 2000.",,,IPC_29A,"ipc_29a  description of ipc section 29a
according to section 29a of indian penal code, the words ?electronic record? shall have the meaning assigned to them in clause (t) of sub-section (1) of section 2 of the information technology act, 2000. ",167
"Description of IPC Section 300
According to section 300 of Indian penal code,
Except in the cases hereinafter excepted, culpable homicide is murder, if the act by which the death is caused is done with the intention of causing death, or-

2ndly.-If it is done with the intention of causing such bodily injury as the offender knows to be likely to cause the death of the person to whom the harm is caused, or-

3rdly.-If it is done with the intention of causing bodily injury to any person and the bodily injury intended to be inflicted is sufficient in the ordinary course of nature to cause death, or-

4thly.-If the person committing the act knows that it is so imminently dangerous that it must, in all probability, cause death, or such bodily injury as is likely to cause death, and commits such act without any excuse for incurring the risk of causing death or such injury as aforesaid.


IPC 300 in Simple Words
According to section 300 of the Indian Penal Code, culpable homicide is considered murder if the act is done with the intention of causing death or causing bodily injury likely to cause death, or if the act is so dangerous that it is likely to cause death or serious bodily injury and is done without any excuse for taking such a risk.

Illustrations

(a) A shoots Z with the intention of killing him. Z dies in consequence. A commits murder.
(b) A, knowing that Z is labouring under such a disease that a blow is likely to cause his death, strikes him with the intention of causing bodily injury. Z dies in consequence of the blow. A is guilty of murder, although the blow might not have been sufficient in the ordinary course of nature to cause the death of a person in a sound state of health. But if A, not knowing that Z is labouring under any disease, gives him such a blow as would not in the ordinary course of nature kill a person in a sound state of health, here A, although he may intend to cause bodily injury, is not guilty of murder, if he did not intend to cause death, or such bodily injury as in the ordinary course of nature would cause death.
(c) A intentionally gives Z a sword-cut or club-wound sufficient to cause the death of a man in the ordinary course of nature. Z dies in consequence. Here A is guilty of murder, although he may not have intended to cause Z's death.
(d) A without any excuse fires a loaded cannon into a crowd of persons and kills one of them. A is guilty of murder, although he may not have had a premeditated design to kill any particular individual.

Exception 1.-When culpable homicide is not murder.-Culpable homicide is not murder if the offender, whilst deprived of the power of self-control by grave and sudden provocation, causes the death of the person who gave the provocation or causes the death of any other person by mistake or accident.

The above exception is subject to the following provisos:-

First.-That the provocation is not sought or voluntarily provoked by the offender as an excuse for killing or doing harm to any person.

Secondly.-That the provocation is not given by anything done in obedience to the law, or by a public servant in the lawful exercise of the powers of such public servant.

Thirdly.-That the provocation is not given by anything done in the lawful exercise of the right of private defence.

Explanation.-Whether the provocation was grave and sudden enough to prevent the offence from amounting to murder is a question of fact.

Illustrations

(a) A, under the influence of passion excited by a provocation given by Z, intentionally kills Y, Z's child. This is murder, in as much as the provocation was not given by the child, and the death of the child was not caused by accident or misfortune in doing an act caused by the provocation.
(b) Y gives grave and sudden provocation to A. A, on this provocation, fires a pistol at Y, neither intending nor knowing himself to be likely to kill Z, who is near him, but out of sight. A kills Z. Here A has not committed murder, but merely culpable homicide.
(c) A is lawfully arrested by Z, a bailiff. A is excited to sudden and violent passion by the arrest, and kills Z. This is murder, inasmuch as the provocation was given by a thing done by a public servant in the exercise of his powers.
(d) A appears as a witness before Z, a Magistrate. Z says that he does not believe a word of A's deposition, and that A has perjured himself. A is moved to sudden passion by these words, and kills Z. This is murder.
(e)A attempts to pull Z's nose. Z, in the exercise of the right of private defence, lays hold of A to prevent him from doing so. A is moved to sudden and violent passion in consequence, and kills Z. This is murder, inasmuch as the provocation was giving by a thing done in the exercise of the right of private defence.
(f) Z strikes B. B is by this provocation excited to violent rage. A, a bystander, intending to take advantage of B's rage, and to cause him to kill Z, puts a knife into B's hand for that purpose. B kills Z with the knife. Here B may have committed only culpable homicide, but A is guilty of murder.

Exception 2.-Culpable homicide is not murder if the offender in the exercise in good faith of the right of private defence of person or property, exceeds the power given to him by law and causes the death of the person against whom he is exercising such right of defence without premeditation, and without any intention of doing more harm than is necessary for the purpose of such defence.

Illustration

Z attempts to horsewhip A, not in such a manner as to cause grievous hurt to A. A draws out a pistol. Z persists in the assault. A believing in good faith that he can by no other means prevent himself from being horsewhipped, shoots Z dead. A has not committed murder, but only culpable homicide.

Exception 3.-Culpable homicide is not murder if the offender, being a public servant or aiding a public servant acting for the advancement of public justice, exceeds the powers given to him by law, and causes death by doing an act which he, in good faith, believes to be lawful and necessary for the due discharge of his duty as such public servant and without ill-will towards the person whose death is caused.

Exception 4.-Culpable homicide is not murder if it is committed without premeditation in a sudden fight",,,IPC_300,"ipc_300  description of ipc section 300
according to section 300 of indian penal code,
except in the cases hereinafter excepted, culpable homicide is murder, if the act by which the death is caused is done with the intention of causing death, or-

2ndly.-if it is done with the intention of causing such bodily injury as the offender knows to be likely to cause the death of the person to whom the harm is caused, or-

3rdly.-if it is done with the intention of causing bodily injury to any person and the bodily injury intended to be inflicted is sufficient in the ordinary course of nature to cause death, or-

4thly.-if the person committing the act knows that it is so imminently dangerous that it must, in all probability, cause death, or such bodily injury as is likely to cause death, and commits such act without any excuse for incurring the risk of causing death or such injury as aforesaid.


ipc 300 in simple words
according to section 300 of the indian penal code, culpable homicide is considered murder if the act is done with the intention of causing death or causing bodily injury likely to cause death, or if the act is so dangerous that it is likely to cause death or serious bodily injury and is done without any excuse for taking such a risk.

illustrations

(a) a shoots z with the intention of killing him. z dies in consequence. a commits murder.
(b) a, knowing that z is labouring under such a disease that a blow is likely to cause his death, strikes him with the intention of causing bodily injury. z dies in consequence of the blow. a is guilty of murder, although the blow might not have been sufficient in the ordinary course of nature to cause the death of a person in a sound state of health. but if a, not knowing that z is labouring under any disease, gives him such a blow as would not in the ordinary course of nature kill a person in a sound state of health, here a, although he may intend to cause bodily injury, is not guilty of murder, if he did not intend to cause death, or such bodily injury as in the ordinary course of nature would cause death.
(c) a intentionally gives z a sword-cut or club-wound sufficient to cause the death of a man in the ordinary course of nature. z dies in consequence. here a is guilty of murder, although he may not have intended to cause z's death.
(d) a without any excuse fires a loaded cannon into a crowd of persons and kills one of them. a is guilty of murder, although he may not have had a premeditated design to kill any particular individual.

exception 1.-when culpable homicide is not murder.-culpable homicide is not murder if the offender, whilst deprived of the power of self-control by grave and sudden provocation, causes the death of the person who gave the provocation or causes the death of any other person by mistake or accident.

the above exception is subject to the following provisos:-

first.-that the provocation is not sought or voluntarily provoked by the offender as an excuse for killing or doing harm to any person.

secondly.-that the provocation is not given by anything done in obedience to the law, or by a public servant in the lawful exercise of the powers of such public servant.

thirdly.-that the provocation is not given by anything done in the lawful exercise of the right of private defence.

explanation.-whether the provocation was grave and sudden enough to prevent the offence from amounting to murder is a question of fact.

illustrations

(a) a, under the influence of passion excited by a provocation given by z, intentionally kills y, z's child. this is murder, in as much as the provocation was not given by the child, and the death of the child was not caused by accident or misfortune in doing an act caused by the provocation.
(b) y gives grave and sudden provocation to a. a, on this provocation, fires a pistol at y, neither intending nor knowing himself to be likely to kill z, who is near him, but out of sight. a kills z. here a has not committed murder, but merely culpable homicide.
(c) a is lawfully arrested by z, a bailiff. a is excited to sudden and violent passion by the arrest, and kills z. this is murder, inasmuch as the provocation was given by a thing done by a public servant in the exercise of his powers.
(d) a appears as a witness before z, a magistrate. z says that he does not believe a word of a's deposition, and that a has perjured himself. a is moved to sudden passion by these words, and kills z. this is murder.
(e)a attempts to pull z's nose. z, in the exercise of the right of private defence, lays hold of a to prevent him from doing so. a is moved to sudden and violent passion in consequence, and kills z. this is murder, inasmuch as the provocation was giving by a thing done in the exercise of the right of private defence.
(f) z strikes b. b is by this provocation excited to violent rage. a, a bystander, intending to take advantage of b's rage, and to cause him to kill z, puts a knife into b's hand for that purpose. b kills z with the knife. here b may have committed only culpable homicide, but a is guilty of murder.

exception 2.-culpable homicide is not murder if the offender in the exercise in good faith of the right of private defence of person or property, exceeds the power given to him by law and causes the death of the person against whom he is exercising such right of defence without premeditation, and without any intention of doing more harm than is necessary for the purpose of such defence.

illustration

z attempts to horsewhip a, not in such a manner as to cause grievous hurt to a. a draws out a pistol. z persists in the assault. a believing in good faith that he can by no other means prevent himself from being horsewhipped, shoots z dead. a has not committed murder, but only culpable homicide.

exception 3.-culpable homicide is not murder if the offender, being a public servant or aiding a public servant acting for the advancement of public justice, exceeds the powers given to him by law, and causes death by doing an act which he, in good faith, believes to be lawful and necessary for the due discharge of his duty as such public servant and without ill-will towards the person whose death is caused.

exception 4.-culpable homicide is not murder if it is committed without premeditation in a sudden fight ",168
